
		Printed:
	    28/08/2021

		Title:
		History Search - CMS

Date;From 01 Apr 18 To 19 Jun 21
Fleet;VJC_all
A/C Type;A320
A/C ID;VN-A690
Message Type;ALL
Ata - subAta;ALL - ALL
Correlated;ALL
Text;ALL


Fault Tracking;Leg;A/C ID;Flight Number;Flight phase;Date Time;Transmission Date;ATA;Source;Title;Priority;Correlated;Report;Work;Note
;-6592;VN-A690;VJ692;02-ENG START;05 May 18 - 19:29;05 May 18 - 19:38;231133;CFDS;NO HF 2 DATA;;No;CFR;;
;-6592;VN-A690;VJ692;02-ENG START;05 May 18 - 19:29;05 May 18 - 19:38;242255;AFS;AFS:28V PWR 11XU1;;No;CFR;;
;-6590;VN-A690;VJ671;02-ENG START;05 May 18 - 23:37;05 May 18 - 23:45;237300;SDCU;OBRM/ CIDS(101RH)-SDF1/;;No;CFR;;
;-6590;VN-A690;VJ671;02-ENG START;05 May 18 - 23:37;05 May 18 - 23:45;242255;AFS;AFS:28V PWR 11XU1;;No;CFR;;
;-6590;VN-A690;VJ671;02-ENG START;05 May 18 - 23:37;05 May 18 - 23:45;231133;CFDS;NO HF 1 DATA;;No;CFR;;
;-6588;VN-A690;VJ670;02-ENG START;06 May 18 - 01:43;06 May 18 - 01:58;237300;SDCU;OBRM/ CIDS(101RH)-SDF1/;;No;CFR;;
;-6588;VN-A690;VJ670;02-ENG START;06 May 18 - 01:43;06 May 18 - 01:58;231133;CFDS;NO HF 2 DATA;;No;CFR;;
;-6586;VN-A690;VJ767;02-ENG START;06 May 18 - 03:55;06 May 18 - 04:05;237300;SDCU;OBRM/ CIDS(101RH)-SDF1/;;No;CFR;;
;-6586;VN-A690;VJ767;02-ENG START;06 May 18 - 03:55;06 May 18 - 04:05;231133;CFDS;NO HF 2 DATA;;No;CFR;;
;-6583;VN-A690;VJ768;02-ENG START;06 May 18 - 06:35;06 May 18 - 06:49;237300;SDCU;OBRM/ CIDS(101RH)-SDF1/;;No;CFR;;
;-6583;VN-A690;VJ768;02-ENG START;06 May 18 - 06:35;06 May 18 - 06:49;231133;CFDS;NO HF 2 DATA;;No;CFR;;
;-6583;VN-A690;VJ768;06-CRUISE;06 May 18 - 07:41;06 May 18 - 08:05;3011;;WING A.ICE SYS FAULT;Medium;Yes;CFR;;
;-6583;VN-A690;VJ768;06-CRUISE;06 May 18 - 07:41;06 May 18 - 08:08;301151;TEMP CTL;R WAI VALVE(10DL);;Yes;CFR;;
;-6582;VN-A690;VJ693;02-ENG START;06 May 18 - 09:19;06 May 18 - 09:28;237300;SDCU;OBRM/ CIDS(101RH)-SDF1/;;No;CFR;;
;-6582;VN-A690;VJ693;02-ENG START;06 May 18 - 09:19;06 May 18 - 09:28;231133;CFDS;NO HF 1 DATA;;No;CFR;;
;-6581;VN-A690;VJ693;06-CRUISE;06 May 18 - 10:10;06 May 18 - 10:11;344334;ATC 1;ATC 1:NO DATA FROM TCAS;;No;CFR;;
;-6578;VN-A690;VJ401;02-ENG START;06 May 18 - 13:57;06 May 18 - 13:58;231133;CFDS;NO HF 2 DATA;;No;CFR;;
;-6578;VN-A690;VJ401;02-ENG START;06 May 18 - 13:57;06 May 18 - 13:58;242255;AFS;AFS:28V PWR 11XU1;;No;CFR;;
;-6578;VN-A690;VJ401;02-ENG START;06 May 18 - 13:57;06 May 18 - 13:59;237300;SDCU;OBRM/ CIDS(101RH)-SDF1/;;No;CFR;;
;-6578;VN-A690;VJ401;06-CRUISE;06 May 18 - 15:10;06 May 18 - 15:11;344334;ATC 2;ATC 2:NO DATA FROM TCAS;;No;CFR;;
;-6577;VN-A690;VJ692;02-ENG START;06 May 18 - 16:06;06 May 18 - 16:11;242255;AFS;AFS:28V PWR 11XU1;;No;CFR;;
;-6577;VN-A690;VJ692;02-ENG START;06 May 18 - 16:06;06 May 18 - 16:12;237300;SDCU;OBRM/ CIDS(101RH)-SDF1/;;No;CFR;;
;-6577;VN-A690;VJ692;02-ENG START;06 May 18 - 16:06;06 May 18 - 16:12;231133;CFDS;NO HF 2 DATA;;No;CFR;;
;-6576;VN-A690;VJ692;06-CRUISE;06 May 18 - 16:34;06 May 18 - 16:36;323173;LGCIU 2;R L/G DOOR CLOSED PROX SNSR 28GA TGT POS;;No;CFR;;
;-6575;VN-A690;VJ671;02-ENG START;06 May 18 - 23:43;06 May 18 - 23:52;231133;CFDS;NO HF 2 DATA;;No;CFR;;
;-6573;VN-A690;VJ670;02-ENG START;07 May 18 - 01:45;07 May 18 - 02:01;231133;HF 1;HF1(3RE1);;No;CFR;;
;-6572;VN-A690;VJ670;06-CRUISE;07 May 18 - 02:23;07 May 18 - 02:25;344334;ATC 1;ATC 1:NO DATA FROM TCAS;;No;CFR;;
;-6571;VN-A690;VJ767;02-ENG START;07 May 18 - 03:59;07 May 18 - 04:07;231133;CFDS;NO HF 2 DATA;;No;CFR;;
;-6568;VN-A690;VJ768;06-CRUISE;07 May 18 - 07:42;07 May 18 - 07:49;323173;LGCIU 2;R L/G DOOR CLOSED PROX SNSR 28GA TGT POS;;No;CFR;;
;-6566;VN-A690;VJ693;02-ENG START;07 May 18 - 09:29;07 May 18 - 09:45;231133;CFDS;NO HF 2 DATA;;No;CFR;;
;-6565;VN-A690;VJ693;06-CRUISE;07 May 18 - 10:39;07 May 18 - 10:41;231133;HF 1;HF1(3RE1);;No;CFR;;
;-6560;VN-A690;VJ449;02-ENG START;08 May 18 - 00:17;08 May 18 - 00:17;231133;HF 1;HF1(3RE1);;No;CFR;;
